"Designator","Mid X","Mid Y","Layer","Rotation"
"U8","137.287mm","-104.775mm","top","0.0"
"SW1","160.9mm","-60mm","top","180.0"
"J5","157.8mm","-67.9mm","top","270.0"
"U5","147.4755mm","-81.788mm","top","270.0"
"U4","113.411mm","-82.677mm","top","90.0"
"C1","165.795mm","-72.65mm","top","0.0"
"C2","168.402mm","-74.816mm","top","270.0"
"C3","147.2mm","-64.3mm","top","0.0"
"C4","147.679mm","-59.082mm","top","180.0"
"C5","152.768mm","-74.803mm","top","0.0"
"C6","135.71mm","-77.04mm","top","0.0"
"C7","152.768mm","-77.851mm","top","0.0"
"C8","135.75mm","-82.804mm","top","180.0"
"C9","152.768mm","-76.327mm","top","0.0"
"C10","141.986mm","-76.467mm","top","90.0"
"C11","149.873mm","-88.646mm","top","180.0"
"C12","143.51mm","-76.467mm","top","90.0"
"C13","149.873mm","-90.17mm","top","180.0"
"C14","141.224mm","-83.706mm","top","90.0"
"C15","139.7mm","-83.706mm","top","90.0"
"C16","148.63mm","-99.15mm","top","90.0"
"C17","153.416mm","-90.03mm","top","270.0"
"C18","161.049mm","-89.027mm","top","0.0"
"D1","170.942mm","-67.564mm","top","0.0"
"D2","166.1415mm","-80.137mm","top","0.0"
"D3","126.9745mm","-60.706mm","top","0.0"
"D4","130.7845mm","-60.706mm","top","0.0"
"D5","139.812mm","-60.102mm","top","0.0"
"D6","126.7715mm","-65.532mm","top","0.0"
"D7","130.5815mm","-65.532mm","top","0.0"
"F1","167.005mm","-67.691mm","top","0.0"
"FB1","151.997mm","-61.722mm","top","180.0"
"FB2","137.541mm","-86.0275mm","top","90.0"
"J1","174.752mm","-85.09mm","top","90.0"
"J2","175.21mm","-74.9mm","top","270.0"
"J4","165.608mm","-101.6mm","top","270.0"
"L1","162.052mm","-100.965mm","top","90.0"
"Q1","168.91mm","-64.77mm","top","180.0"
"R1","168.592mm","-62.23mm","top","0.0"
"R2","162.97mm","-75.38mm","top","90.0"
"R3","152.175mm","-59.7mm","top","180.0"
"R4","166.116mm","-77.851mm","top","180.0"
"R5","126.937mm","-62.484mm","top","0.0"
"R6","136.906mm","-62.484mm","top","0.0"
"R7","130.873mm","-62.484mm","top","0.0"
"R8","139.891mm","-62.484mm","top","0.0"
"R9","142.92mm","-62.484mm","top","0.0"
"R10","126.809mm","-67.31mm","top","0.0"
"R11","139.256mm","-81.026mm","top","180.0"
"R12","130.619mm","-67.31mm","top","0.0"
"R13","147.32mm","-72.454mm","top","270.0"
"R14","145.796mm","-72.454mm","top","270.0"
"R15","144.272mm","-72.454mm","top","90.0"
"U1","165.692mm","-75.245mm","top","0.0"
"U2","166.37mm","-83.693mm","top","180.0"
"U3","147.425mm","-61.722mm","top","0.0"
"U6","155.321mm","-99.06mm","top","0.0"
"U7","156.845mm","-88.265mm","top","180.0"
"U9","166.497mm","-90.932mm","top","90.0"
